wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
4817.35 753.113 769.191 828.937 815.213 21.3539
4820.25 797.443 769.896 826.035 817.754 22.1754
4823.15 759.131 778.74 798.29 811.154 21.5207
4826.05 779.646 779.989 809.137 831.392 21.8545
4828.95 801.188 784.835 886.749 845.256 22.5322
4831.85 773.671 788.288 839.881 847.201 21.8959
4834.75 790.004 774.322 814.971 811.1 22.2531
4837.65 759.292 793.212 778.448 819.213 21.5008
4840.54 830.339 797.66 864.219 826.25 22.7597
4843.44 803.349 796.239 836.084 854.564 22.5471
4846.34 755.029 780.829 863.389 839.015 21.5311
4849.24 784.109 779.707 817.573 842.496 22.1446
4852.14 799.984 781.579 846.525 831.062 22.7491
4855.04 760.645 801.557 829.087 859.656 21.8777
4857.94 844.044 787.428 903.356 844.924 23.7594
4860.84 757.595 800.219 802.329 841.187 22.1084
4863.74 799.018 798.212 817.876 837.283 23.0886
4866.64 838.023 818.953 891.646 842.754 23.7012
4869.54 819.818 808.856 818.742 837.501 23.6009
4872.43 768.726 777.354 802.115 812.483 22.3011
4875.33 743.519 773.2 816.592 825.517 21.5431
4878.23 807.356 771.48 857.843 831.233 22.9256
4881.13 763.565 777.026 819.263 845.986 22.0324
4884.03 760.159 782.965 860.852 852.765 21.7519
4886.93 825.173 806.679 878.18 882.571 23.2786
4889.83 834.706 847.12 908.679 908.533 23.4952
4892.72 881.482 825.509 938.741 889.421 24.3156
4895.62 760.339 839.029 820.844 912.418 21.7274
4898.52 875.267 815.194 977.67 902.82 24.134
4901.42 809.977 845.448 909.946 955.106 22.8355
4904.32 851.098 813.595 977.703 915.168 23.7116
4907.22 779.709 812.236 857.856 908.496 21.9883
4910.11 805.902 804.853 889.93 880.989 22.6854
4913.01 828.948 820.501 895.181 892.569 23.415
4915.91 826.653 850.782 892.597 927.079 23.2398
4918.81 896.744 831.035 993.459 908.714 24.615
4921.7 769.708 811.877 840.086 888.053 21.949
4924.6 769.179 779.554 830.614 841.471 21.8606
4927.5 799.777 792.481 853.713 847.028 22.3665
4930.4 808.488 827.472 856.758 880.981 22.7865
4933.29 874.15 824.069 932.471 890.074 24.1071
4936.19 789.569 810.534 880.994 878.814 22.2114
4939.09 767.884 780.12 822.979 858.279 21.7172
4941.99 782.906 778.671 870.863 839.718 21.943
4944.88 785.224 786.168 825.311 852.209 22.2134
4947.78 790.375 801.245 860.452 853.799 22.2292
4950.68 828.136 807.486 875.634 868.593 22.9582
4953.57 803.946 811.033 869.693 875.229 22.5287
4956.47 801.016 777.664 880.361 847.969 22.3159
4959.37 728.028 763.787 793.853 830.576 20.7951
4962.26 762.315 781.086 817.514 840.613 21.3052
4965.16 852.914 831.592 910.473 886.514 23.5348
4968.06 879.548 895.053 931.555 942.732 23.8913
4970.95 952.699 891.006 986.169 936.202 25.4284
4973.85 840.771 873.543 890.883 933.083 22.9294
4976.75 827.158 847.592 922.195 919.299 22.613
4979.64 874.846 865.797 944.819 941.973 23.7825
4982.54 895.386 899.658 958.906 965.458 24.294
4985.44 928.741 911.383 992.65 985.154 25.0249
4988.33 910.023 887.685 1003.91 955.47 24.4021
4991.23 824.292 860.644 869.853 923.932 22.7717
4994.12 847.617 853.209 898.036 910.822 23.1976
4997.02 887.718 869.409 964.576 936.752 23.9863
4999.92 872.891 895.588 947.643 977.541 23.6562
5002.81 926.154 899.866 1020.4 982.589 24.7719
